ts,from,to,reason
2020-01-04T00:00:00,DEF,AGG,TREND
2020-02-24T00:00:00,AGG,DEF,RANGE
2020-04-21T00:00:00,DEF,AGG,TREND
2020-06-08T00:00:00,AGG,DEF,RANGE
2020-08-04T00:00:00,DEF,AGG,TREND
2020-09-24T00:00:00,AGG,DEF,RANGE
2020-11-20T00:00:00,DEF,AGG,TREND
2021-01-07T00:00:00,AGG,DEF,RANGE
2021-03-08T00:00:00,DEF,AGG,TREND
2021-04-25T00:00:00,AGG,DEF,RANGE
2021-06-21T00:00:00,DEF,AGG,TREND
2021-08-11T00:00:00,AGG,DEF,RANGE
2021-10-07T00:00:00,DEF,AGG,TREND
2021-11-24T00:00:00,AGG,DEF,RANGE
2022-01-20T00:00:00,DEF,AGG,TREND
2022-03-12T00:00:00,AGG,DEF,RANGE
2022-05-08T00:00:00,DEF,AGG,TREND
2022-06-28T00:00:00,AGG,DEF,RANGE
2022-08-24T00:00:00,DEF,AGG,TREND
2022-10-11T00:00:00,AGG,DEF,RANGE
2022-12-07T00:00:00,DEF,AGG,TREND
2023-01-27T00:00:00,AGG,DEF,RANGE
2023-03-25T00:00:00,DEF,AGG,TREND
2023-05-12T00:00:00,AGG,DEF,RANGE
2023-07-08T00:00:00,DEF,AGG,TREND
2023-08-28T00:00:00,AGG,DEF,RANGE
2023-10-24T00:00:00,DEF,AGG,TREND
2023-12-14T00:00:00,AGG,DEF,RANGE
2024-02-09T00:00:00,DEF,AGG,TREND
2024-03-28T00:00:00,AGG,DEF,RANGE
2024-05-24T00:00:00,DEF,AGG,TREND
2024-07-14T00:00:00,AGG,DEF,RANGE
2024-09-09T00:00:00,DEF,AGG,TREND
2024-10-27T00:00:00,AGG,DEF,RANGE
2024-12-23T00:00:00,DEF,AGG,TREND
