ts,side,qty,reason
2020-03-12T00:15:00,SWITCH,0.12,TREND
2020-03-12T04:30:00,SWITCH,0.536,RANGE
2020-03-12T09:15:00,SWITCH,0.481,TREND
2020-03-12T10:05:00,SWITCH,0.3113,SUPER_TREND
2020-03-12T10:15:00,SWITCH,0.6075,SUPER_TREND
2020-03-12T13:15:00,SWITCH,0.536,RANGE
2020-03-12T18:00:00,SWITCH,0.481,TREND
2020-03-12T20:05:00,SWITCH,0.374,SUPER_TREND
2020-03-12T20:15:00,SWITCH,0.6075,SUPER_TREND
2020-03-12T22:15:00,SWITCH,0.536,RANGE
2021-05-19T02:55:00,SWITCH,0.481,TREND
2021-05-19T06:00:00,SWITCH,0.374,TREND
2021-05-19T06:10:00,SWITCH,0.6075,TREND
2021-05-19T06:55:00,SWITCH,0.536,RANGE
2021-05-19T11:55:00,SWITCH,0.481,TREND
2021-05-19T15:55:00,SWITCH,0.536,RANGE
2021-05-19T20:40:00,SWITCH,0.481,TREND
2022-05-07T00:50:00,SWITCH,0.536,RANGE
2022-05-07T05:35:00,SWITCH,0.481,TREND
2022-05-07T09:35:00,SWITCH,0.536,RANGE
2022-05-07T14:20:00,SWITCH,0.481,TREND
2022-05-07T18:35:00,SWITCH,0.536,RANGE
2022-05-07T23:20:00,SWITCH,0.481,TREND
2022-05-08T03:35:00,SWITCH,0.536,RANGE
2022-05-08T08:20:00,SWITCH,0.481,TREND
2022-05-08T12:20:00,SWITCH,0.536,RANGE
2022-05-08T17:05:00,SWITCH,0.481,TREND
2022-05-08T17:55:00,SWITCH,0.34705,TREND
2022-05-08T18:05:00,SWITCH,0.6075,TREND
2022-05-08T21:20:00,SWITCH,0.536,RANGE
2022-05-09T02:05:00,SWITCH,0.481,TREND
2022-05-09T03:55:00,SWITCH,0.374,TREND
2022-05-09T04:05:00,SWITCH,0.59,TREND
2022-05-09T06:05:00,SWITCH,0.536,RANGE
2022-05-09T10:50:00,SWITCH,0.481,TREND
2022-05-09T13:55:00,SWITCH,0.374,SUPER_TREND
2022-05-09T14:05:00,SWITCH,0.6075,TREND
2022-05-09T15:05:00,SWITCH,0.536,RANGE
2022-05-09T19:50:00,SWITCH,0.481,TREND
2022-05-09T23:55:00,SWITCH,0.2948,RANGE
2022-05-10T04:50:00,SWITCH,0.481,TREND
2022-05-10T08:50:00,SWITCH,0.536,RANGE
2022-05-10T13:35:00,SWITCH,0.481,TREND
2022-05-10T17:50:00,SWITCH,0.536,RANGE
2022-05-10T22:35:00,SWITCH,0.481,TREND
2022-05-11T02:35:00,SWITCH,0.536,RANGE
2022-05-11T07:20:00,SWITCH,0.481,TREND
2022-05-11T11:35:00,SWITCH,0.536,RANGE
2022-05-11T16:20:00,SWITCH,0.481,TREND
2022-05-11T20:35:00,SWITCH,0.536,RANGE
2022-05-12T01:20:00,SWITCH,0.481,TREND
2022-05-12T01:55:00,SWITCH,0.2948,TREND
2022-05-12T02:05:00,SWITCH,0.596,SUPER_TREND
2022-05-12T05:20:00,SWITCH,0.536,RANGE
2022-05-12T10:05:00,SWITCH,0.481,TREND
2022-05-12T11:55:00,SWITCH,0.374,SUPER_TREND
2022-05-12T12:05:00,SWITCH,0.6075,SUPER_TREND
2022-05-12T14:20:00,SWITCH,0.536,RANGE
2022-05-12T19:05:00,SWITCH,0.481,TREND
2022-05-12T21:55:00,SWITCH,0.374,TREND
2022-05-12T22:05:00,SWITCH,0.6075,TREND
2022-05-12T23:05:00,SWITCH,0.536,RANGE
2022-11-06T03:45:00,SWITCH,0.481,TREND
2022-11-06T07:50:00,SWITCH,0.2948,TREND
2022-11-06T12:45:00,SWITCH,0.481,TREND
2022-11-06T17:00:00,SWITCH,0.536,RANGE
2022-11-06T21:45:00,SWITCH,0.481,TREND
2022-11-07T01:45:00,SWITCH,0.536,RANGE
2022-11-07T06:30:00,SWITCH,0.481,TREND
2022-11-07T10:45:00,SWITCH,0.536,RANGE
2022-11-07T15:30:00,SWITCH,0.481,TREND
2022-11-07T19:30:00,SWITCH,0.536,RANGE
2022-11-08T00:15:00,SWITCH,0.481,TREND
2022-11-08T04:30:00,SWITCH,0.536,RANGE
2022-11-08T09:15:00,SWITCH,0.481,TREND
2022-11-08T09:50:00,SWITCH,0.29755,TREND
2022-11-08T10:00:00,SWITCH,0.601,TREND
2022-11-08T13:30:00,SWITCH,0.536,RANGE
2022-11-08T18:15:00,SWITCH,0.481,TREND
2022-11-08T19:50:00,SWITCH,0.3443,SUPER_TREND
2022-11-08T20:00:00,SWITCH,0.6075,SUPER_TREND
2022-11-08T22:15:00,SWITCH,0.536,RANGE
2022-11-09T03:00:00,SWITCH,0.481,TREND
2022-11-09T05:50:00,SWITCH,0.374,SUPER_TREND
2022-11-09T06:00:00,SWITCH,0.6075,SUPER_TREND
2022-11-09T07:15:00,SWITCH,0.536,RANGE
2022-11-09T12:00:00,SWITCH,0.481,TREND
2022-11-09T15:50:00,SWITCH,0.2948,TREND
2022-11-09T20:45:00,SWITCH,0.481,TREND
2022-11-10T01:00:00,SWITCH,0.536,RANGE
2022-11-10T05:45:00,SWITCH,0.481,TREND
2022-11-10T10:00:00,SWITCH,0.536,RANGE
2022-11-10T14:45:00,SWITCH,0.481,TREND
2022-11-10T18:45:00,SWITCH,0.536,RANGE
2022-11-10T23:30:00,SWITCH,0.481,TREND
2022-11-11T03:45:00,SWITCH,0.536,RANGE
2022-11-11T08:30:00,SWITCH,0.481,TREND
2022-11-11T12:30:00,SWITCH,0.536,RANGE
2022-11-11T17:30:00,SWITCH,0.481,TREND
2022-11-11T17:50:00,SWITCH,0.24805,TREND
2022-11-11T18:00:00,SWITCH,0.481,TREND
2022-11-11T21:30:00,SWITCH,0.536,RANGE
